aer;A Abigail Payne;ppa10
aer;A Michael Spence;psp7
aer;Abdul Abiad;pab242
aer;Abel M Winn;pwi202
aer;Abhijeet Singh;psi581
aer;Abi Adams;pad210
aer;Adam B Ashcraft;pas35
aer;Adam Jaffe;pja49
aer;Adam Storeygard;pst380
aer;Adam Szeidl;psz25
aer;Adriaan Soetevent;pso65
aer;Adriana Kugler;pku361
aer;Abhijit Banerjee;pba1710
aer;Adrien Verdelhan;pve80
aer;Agar Brugiavini;pbr101
aer;Ajay K Agrawal;pag38
aer;Akira Okada;pok50
aer;Akos Valentinyi;pva126
aer;Alain de Janvry;pde613
aer;Alain Trannoy;ptr76
aer;Alan Auerbach;pau33
aer;Alan B Krueger;pkr63
aer;Alan Beggs;pbe253
aer;Alan M Taylor;pta46
aer;Alan Manning;pma218
aer;Alan S Blinder;pbl41
aer;Albert Marcet;pma173
aer;Albert Satorra;psa929
aer;Alberto Abadie;pab7
aer;Alberto Alesina;pal207
aer;Alberto Bisin;pbi10
aer;Alberto Felipe Cavallo;pca605
aer;Alberto Martin;pma513
aer;Aldo Rustichini;pru209
aer;Aleh Tsyvinski;pts51
aer;Alejandro Justiniano;pju154
aer;Alejandro Ponce;ppo288
aer;Aleksander Berentsen;pbe22
aer;Alessandra Voena;pvo279
aer;Alessandro Bonatti;pbo878
aer;Alessandro Gavazza;pga173
aer;Alessandro Lizzeri;pli177
aer;Alessandro Tarozzi;pta112
aer;Alex Bell;pbe1128
aer;Alex Edmans;ped30
aer;Alex Gershkov;pge138
aer;Alex Rees Jones;pre490
aer;Alex Smolin;psm213
aer;Alexander Bick;pbi192
aer;Alexander F Wagner;pwa151
aer;Alexander J Field;pfi27
aer;Alexander Michaelides;pmi112
aer;Alexander Monge Naranjo;pmo730
aer;Alexander Wolitzky;pwo172
aer;Alexander Wright Cappelen;pca561
aer;Alexandre Mas;pma2363
aer;Alfonso Rosolia;pro162
aer;Ali Hortacsu;pho408
aer;Ali Shourideh;psh346
aer;Ali Yurukoglu;pyu85
aer;Alireza Tahbaz Salehi;pta370
aer;Alisdair McKay;pmc138
aer;Alistair James Wilson;pwi196
aer;Allan Collard Wexler;pco381
aer;Allen Head;phe15
aer;Alma Cohen;pco678
aer;Alok K Bohara;pbo509
aer;Aloysius Siow;psi13
aer;Alp Enver Atakan;pat41
aer;Alpo Willman;pwi210
aer;Alvin E Roth;pro40
aer;Amanda Ellen Kowalski;pko425
aer;Ameet Morjaria;pmo916
aer;Amir Sufi;psu303
aer;Amit Kumar Khandelwal;pkh138
aer;Amit Seru;pse308
aer;Amitabh Chandra;pch893
aer;Amnon Rapoport;pra705
aer;Amy Finkelstein;pfi264
aer;Ana Fostel;pfo70
aer;Ananth Seshadri;pse72
aer;Anastasios Xepapadeas;pxe1
aer;Anat Bracha;pbr713
aer;Anders Poulsen;ppo39
aer;Andre Kurmann;pku16
aer;Andre Portela Souza;pso97
aer;Andrea Ajello;paj16
aer;Andrea Ferrero;pfe99
aer;Andrea Galeotti;pga17
aer;Andrea Ichino;pic3
aer;Andrea Isoni;pis176
aer;Andrea Moro;pmo78
aer;Andrea Prat;ppr174
aer;Andrea Weber;pwe32
aer;Andreas Beyer;pbe141
aer;Andreas Blume;pbl144
aer;Andreas Hornstein;pho142
aer;Andreas I Mueller;pmu176
aer;Andreas Kleiner;pkl166
aer;Andreas Lange;pla289
aer;Andreas Peichl;ppe202
aer;Andreas Ravndal Kostol;pko862
aer;Andreas Roider;pro37
aer;Andrei A Levchenko;ple223
aer;Andrei Shleifer;psh93
aer;Andres Rodriguez Clare;pro372
aer;Andreu Mas Colell;pma1422
aer;Andrew Abel;pab10
aer;Andrew Alan Samwick;psa395
aer;Andrew B Bernard;pbe478
aer;Andrew Caplin;pca77
aer;Andrew Ellis;pel244
aer;Andrew Foster;pfo3
aer;Andrew Granger Atkeson;pat52
aer;Andrew J Oswald;pos21
aer;Andrew J Yates;pya124
aer;Andrew Kenan Rose;pro71
aer;Andrew Postlewaite;ppo86
aer;Andrew Schotter;psc146
aer;Andrew Seltzer;pse58
aer;Andrew Sweeting;psw53
aer;Andrew Theo Levin;ple143
aer;Andrzej Skrzypacz;psk11
aer;Angus S Deaton;pde30
aer;Anil K Kashyap;pka35
aer;Anke S Kessler;pke73
aer;Ann E Harrison;pha441
aer;Anna Aizer;pai9
aer;Anna Dreber;pdr66
aer;Anna Pavlova;ppa810
aer;Anna Piil Damm;pda75
aer;Anne Case;pca108
aer;Anne Katrin Roesler;pro1052
aer;Anthony Ziegelmeyer;pzi40
aer;Anton Korinek;pko142
aer;Antoni Bosch Domenech;pbo543
aer;Antoni Calvo Armengol;pca168
aer;Antonio Acconcia;pac7
aer;Antonio Cabrales;pca5
aer;Antonio Ciccone;pci47
aer;Antonio Guarino;pgu223
aer;Antonio M Bento;pbe765
aer;Antonio M Merlo;pme29
aer;Antonio Penta;ppe324
aer;Antonio Spilimbergo;psp16
aer;Aparajita Goyal;pgo275
aer;April Mitchell Franco;pfr31
aer;Archishman Chakraborty;pch423
aer;Argia M Sbordone;psb1
aer;Arie Kapteyn;pka406
aer;Ariel Pakes;ppa20
aer;Ariel Rubinstein;pru8
aer;Ariel Tomas Burstein;pbu107
aer;Ariel Zetlin Jones;pze144
aer;Arijit Sen;pse433
aer;Arik Levinson;ple135
aer;Arindrajit Dube;pdu263
aer;Armin Falk;pfa48
aer;Arnaud Costinot;pco355
aer;Arno Riedl;pri41
aer;Arthur Donald Campbell;pca1000
aer;Arthur Ewoud Attema;pat58
aer;Arthur John Robson;pro93
aer;Arthur Lewbel;ple43
aer;Arthur S Goldberger;pgo599
aer;Arthur Van Soest;pva270
aer;Arturo Estrella;pes29
aer;Arya B Gaduh;pga96
aer;Asher Wolinsky;pwo147
aer;Ashoka Mody;pmo492
aer;Asim Ijaz Khwaja;pkh256
aer;Athanasios Orphanides;por35
aer;Atif Rehman Mian;pmi415
aer;Atsushi Kajii;pka43
aer;Aubhik Khan;pkh5
aer;Audra J Bowlus;pbo291
aer;Audrey Light;pli678
aer;Aurelien Baillon;pba869
aer;Avi Goldfarb;pgo53
aer;Avinash Kamalakar Dixit;pdi79
aer;Aviv Nevo;pne133
aer;Axel Ockenfels;poc7
aer;Ayhan Kose;pko65
aer;Ayse Imrohoroglu;pim5
aer;B D McCullough;pmc128
aer;B Douglas Bernheim;pbe81
aer;Babur De los Santos;pde472
aer;Barbara Petrongolo;ppe484
aer;Barry J Nalebuff;pna205
aer;Bart Hobijn;pho54
aer;Bart J Wilson;pwi115
aer;Bart Los;plo13
aer;Barton Hughes Hamilton;pha76
aer;Barton Lipman;pli57
aer;Bartosz Mackowiak;pma547
aer;Basile Grassi;pgr567
aer;Battal Dogan;pdo391
aer;Beata Smarzynska Javorcik;pja78
aer;Beatrice Weder di Mauro;pwe114
aer;Behzad T Diba;pdi273
aer;Ben Greiner;pgr43
aer;Benjamin Andrew Malin;pma830
aer;Benjamin Born;pbo471
aer;Benjamin Bushong;pbu475
aer;Benjamin Carter Hansen;pha383
aer;Benjamin E Hermalin;phe59
aer;Benjamin Golub;pgo789
aer;Benjamin J Keys;pke311
aer;Benjamin MacLean Sand;psa1145
aer;Benjamin Moll;pmo661
aer;Benjamin Olken;pol170
aer;Benjamin R Lester;ple283
aer;Benjamin R Mandel;pma1142
aer;Benny Moldovanu;pmo12
aer;Bent E Sorensen;pso113
aer;Bernard J M Caillaud;pca204
aer;Bernard Salanie;psa116
aer;Bernardo Guimaraes;pgu115
aer;Bernardo Moreno;pmo264
aer;Berthold Herrendorf;phe219
aer;Bertil Tungodden;ptu94
aer;Beverly Lapham;pla22
aer;Bhashkar Mazumder;pma1341
aer;Bhaven N Sampat;psa1696
aer;Bill Dupor;pdu275
aer;Bjorn Bartling;pba1106
aer;Bo Chen;pch458
aer;Botond Koszegi;pko590
aer;Boyan Jovanovic;pjo20
aer;Brad J Hershbein;phe422
aer;Bradley Ruffle;pru21
aer;Bram De Rock;pde305
aer;Brent Neiman;pne85
aer;Brett R Gordon;pgo263
aer;Brian G Knight;pkn7
aer;Brian McCaig;pmc113
aer;Brian R Copeland;pco51
aer;Brian Thomas Melzer;pme762
aer;Brian W Rogers;pro198
aer;Brian Wallace;pwa89
aer;Brigitte C Madrian;pma384
aer;Brit Grosskopf;pgr176
aer;Bruce A Blonigen;pbl165
aer;Bruce A Weinberg;pwe74
aer;Bruce D Meyer;pme273
aer;Bruce Preston;ppr134
aer;Bruce Sacerdote;psa934
aer;Bruno Cassiman;pca680
aer;Bruno R Biais;pbi43
aer;Bruno S Frey;pfr6
aer;Burcu Eyigungor;pey6
aer;Burhanettin Kuruscu;pku17
aer;Caglar Ozden;poz39
aer;Camille Landais;pla465
aer;Carl Shapiro;psh275
aer;Carl Walsh;pwa23
aer;Carlos Dobkin;pdo220
aer;Carlos Urrutia;pur2
aer;Carlos Viana de Carvalho;pca106
aer;Carmen M Reinhart;pre33
aer;Carol Hua Shiue;psh122
aer;Carol Propper;ppr36
aer;Caroline Freund;pfr135
aer;Caroline Hoxby;pho46
aer;Carolyn L Evans;pev40
aer;Cary A Deck;pde234
aer;Caterina Calsamiglia;pca150
aer;Catherine C Eckel;pec27
aer;Catherine de Fontenay;pde454
aer;Cathy M Zhang;pzh422
aer;Cedric Tille;pti5
aer;Chad P Bown;pbo555
aer;Chad Syverson;psy13
aer;Charles A Holt;pho200
aer;Charles Blackorby;pbl21
aer;Charles David Sprenger;psp176
aer;Charles Engel;pen14
aer;Charles H Whiteman;pwh13
